order_id,order_date,region,country,product_category,product_name,sales_channel,quantity,unit_price,total_sales,profit,customer_segment
ORD-000097,2023-10-29,East,China,Clothing,Running Shoes,Online,3,112.68,338.04,124.62,Corporate
ORD-000098,2022-01-04,East,Japan,Furniture,Standing Desk,Online,4,526.75,2107.0,566.07,Consumer
ORD-000099,2023-08-16,East,India,Electronics,Laptop Pro,Online,2,1196.72,2393.44,527.84,Home Office
ORD-000100,2022-03-17,East,India,Furniture,Ergonomic Chair,Online,2,273.0,546.0,194.17,Corporate
ORD-000101,2022-08-16,South,Argentina,Furniture,Standing Desk,Online,5,474.68,2373.4,765.83,Consumer
ORD-000102,2022-07-13,West,France,Clothing,Running Shoes,Online,4,111.31,445.24,173.6,Consumer
ORD-000103,2022-01-16,East,India,Electronics,Smartphone X,Retail,9,762.72,6864.48,1942.17,Consumer
ORD-000104,2024-01-22,North,USA,Grocery,Organic Coffee Beans,Online,10,12.5,125.0,33.51,Home Office
ORD-000105,2022-05-13,South,Brazil,Clothing,Running Shoes,Online,2,110.31,220.62,71.4,Corporate
ORD-000106,2022-06-28,South,Brazil,Grocery,Olive Oil Premium,Retail,10,17.52,175.2,41.09,Corporate
ORD-000107,2022-01-01,West,UK,Grocery,Organic Coffee Beans,Online,10,11.54,115.4,38.98,Home Office
ORD-000108,2022-01-28,East,India,Electronics,Laptop Pro,Online,1,1304.79,1304.79,331.47,Home Office
ORD-000109,2022-01-29,East,Japan,Grocery,Breakfast Cereal,Online,8,6.35,50.8,12.44,Consumer
ORD-000110,2022-09-16,West,UK,Furniture,Ergonomic Chair,Online,1,261.01,261.01,64.39,Corporate
ORD-000111,2022-01-01,East,China,Furniture,Standing Desk,Online,1,492.55,492.55,162.37,Corporate
ORD-000112,2022-07-16,West,Germany,Grocery,Breakfast Cereal,Online,5,6.3,31.5,7.83,Corporate
ORD-000113,2022-01-06,West,France,Electronics,Smartphone X,Online,2,735.26,1470.52,298.54,Consumer
ORD-000114,2023-04-11,East,India,Furniture,Bookshelf,Online,1,131.24,131.24,39.63,Home Office
ORD-000115,2022-01-06,East,China,Grocery,Breakfast Cereal,Online,10,6.24,62.4,12.5,Home Office
ORD-000116,2022-01-10,North,USA,Clothing,Running Shoes,Retail,3,106.9,320.7,142.81,Corporate
ORD-000117,2022-01-03,South,Argentina,Furniture,Standing Desk,Online,3,490.21,1470.63,392.65,Home Office
ORD-000118,2022-12-28,North,USA,Grocery,Organic Coffee Beans,Online,7,11.17,78.19,21.99,Corporate
ORD-000119,2022-11-14,East,China,Grocery,Breakfast Cereal,Online,12,5.77,69.24,16.73,Corporate
ORD-000120,2022-01-01,South,Brazil,Furniture,Ergonomic Chair,Online,4,242.03,968.12,288.98,Consumer
ORD-000121,2022-01-20,West,France,Electronics,Laptop Pro,Online,3,1084.11,3252.33,625.21,Corporate
ORD-000122,2023-05-23,East,India,Furniture,Bookshelf,Retail,6,118.57,711.42,220.32,Home Office
ORD-000123,2023-02-07,South,Argentina,Electronics,4K Monitor,Online,4,369.2,1476.8,353.93,Corporate
ORD-000124,2022-05-01,North,USA,Electronics,Laptop Pro,Retail,4,1094.98,4379.92,799.13,Consumer
ORD-000125,2022-02-21,East,Japan,Clothing,Women's Dress,Online,4,85.68,342.72,131.23,Consumer
ORD-000126,2023-07-14,South,Argentina,Electronics,Wireless Headphones,Online,4,135.58,542.32,168.0,Consumer
ORD-000127,2022-08-18,West,France,Furniture,Ergonomic Chair,Online,4,225.62,902.48,263.63,Corporate
ORD-000128,2022-03-08,East,China,Electronics,Smartphone X,Online,1,739.91,739.91,199.48,Home Office
ORD-000129,2022-01-01,East,Japan,Electronics,4K Monitor,Retail,10,399.49,3994.9,1112.64,Home Office
ORD-000130,2022-02-11,East,India,Grocery,Organic Coffee Beans,Online,11,12.54,137.94,41.15,Corporate
ORD-000131,2022-01-01,South,Brazil,Clothing,Women's Dress,Retail,6,83.89,503.34,236.52,Corporate
ORD-000132,2023-04-12,West,UK,Clothing,Men's Jacket,Online,5,86.99,434.95,188.08,Consumer
ORD-000133,2022-01-20,South,Argentina,Clothing,Running Shoes,Retail,9,103.7,933.3,320.01,Consumer
ORD-000134,2023-05-26,South,Brazil,Furniture,Standing Desk,Online,3,472.55,1417.65,456.78,Home Office
ORD-000135,2024-04-09,West,Germany,Electronics,Wireless Headphones,Online,3,160.93,482.79,149.8,Consumer
ORD-000136,2022-01-11,South,Brazil,Clothing,Men's Jacket,Retail,1,92.97,92.97,30.59,Corporate
ORD-000137,2022-03-27,West,UK,Grocery,Organic Coffee Beans,Online,6,12.49,74.94,21.88,Corporate
ORD-000138,2022-01-19,West,France,Grocery,Organic Coffee Beans,Retail,17,12.82,217.94,74.31,Consumer
ORD-000139,2022-01-07,North,USA,Clothing,Women's Dress,Retail,7,75.84,530.88,257.53,Consumer
ORD-000140,2022-03-06,North,Canada,Grocery,Olive Oil Premium,Retail,6,18.76,112.56,31.6,Consumer
ORD-000141,2022-02-07,East,Japan,Furniture,Ergonomic Chair,Retail,9,231.17,2080.53,602.8,Corporate
ORD-000142,2022-01-02,North,USA,Electronics,Laptop Pro,Online,5,1172.87,5864.35,1465.65,Consumer
ORD-000143,2022-09-02,North,USA,Grocery,Olive Oil Premium,Retail,15,17.26,258.9,70.46,Home Office
ORD-000144,2022-01-01,East,China,Clothing,Men's Jacket,Online,5,86.06,430.3,178.13,Home Office
ORD-000145,2022-10-14,West,Germany,Grocery,Breakfast Cereal,Retail,19,5.73,108.87,23.91,Home Office
ORD-000146,2022-02-17,East,Japan,Furniture,Bookshelf,Retail,1,121.06,121.06,38.2,Home Office
ORD-000147,2022-01-04,South,Brazil,Electronics,Smartphone X,Retail,10,855.65,8556.5,2019.62,Home Office
ORD-000148,2022-02-15,South,Argentina,Electronics,Wireless Headphones,Online,1,153.88,153.88,54.54,Consumer
ORD-000149,2022-09-15,West,UK,Furniture,Ergonomic Chair,Online,5,237.23,1186.15,334.32,Consumer
ORD-000150,2022-03-12,East,India,Furniture,Ergonomic Chair,Online,1,270.73,270.73,90.53,Corporate
ORD-000151,2022-09-21,North,USA,Furniture,Ergonomic Chair,Online,1,267.05,267.05,64.77,Corporate
ORD-000152,2022-01-09,East,India,Grocery,Organic Coffee Beans,Online,12,12.92,155.04,38.87,Home Office
ORD-000153,2022-03-12,South,Brazil,Electronics,Laptop Pro,Retail,2,1102.08,2204.16,429.32,Corporate
ORD-000154,2022-01-08,South,Argentina,Grocery,Breakfast Cereal,Retail,18,5.46,98.28,19.97,Corporate
ORD-000155,2022-01-01,North,Canada,Grocery,Olive Oil Premium,Online,12,17.79,213.48,52.11,Corporate
ORD-000156,2022-01-01,West,France,Electronics,Wireless Headphones,Online,2,151.29,302.58,87.0,Consumer
ORD-000157,2022-11-20,North,USA,Electronics,Laptop Pro,Online,1,1177.27,1177.27,207.9,Corporate
ORD-000158,2022-01-03,North,Canada,Furniture,Standing Desk,Retail,3,528.43,1585.29,486.55,Corporate
ORD-000159,2024-03-09,North,USA,Clothing,Women's Dress,Retail,7,87.89,615.23,269.65,Corporate
ORD-000160,2022-04-04,East,China,Furniture,Bookshelf,Retail,1,126.42,126.42,30.48,Consumer
ORD-000161,2022-07-01,East,China,Electronics,Wireless Headphones,Retail,6,145.9,875.4,317.28,Corporate
ORD-000162,2022-04-25,North,Canada,Grocery,Olive Oil Premium,Online,7,18.76,131.32,36.41,Home Office
ORD-000163,2022-01-01,East,Japan,Grocery,Organic Coffee Beans,Online,11,11.53,126.83,30.48,Consumer
ORD-000164,2022-01-02,East,China,Electronics,Wireless Headphones,Online,4,148.41,593.64,231.03,Home Office
ORD-000165,2022-01-14,East,China,Grocery,Organic Coffee Beans,Online,6,12.7,76.2,24.59,Home Office
ORD-000166,2023-11-09,West,Germany,Grocery,Breakfast Cereal,Online,10,6.49,64.9,16.45,Consumer
ORD-000167,2022-01-02,East,Japan,Clothing,Women's Dress,Retail,2,83.12,166.24,56.37,Corporate
ORD-000168,2022-04-21,South,Brazil,Furniture,Ergonomic Chair,Retail,7,256.48,1795.36,434.31,Home Office
ORD-000169,2022-01-03,East,Japan,Electronics,Smartphone X,Online,3,835.86,2507.58,503.94,Home Office
ORD-000170,2024-01-09,South,Brazil,Furniture,Ergonomic Chair,Online,1,248.15,248.15,76.48,Corporate
ORD-000171,2022-01-09,East,China,Electronics,Wireless Headphones,Online,1,143.5,143.5,42.67,Corporate
ORD-000172,2023-08-30,South,Brazil,Furniture,Standing Desk,Retail,6,522.67,3136.02,1095.17,Corporate
ORD-000173,2022-01-10,North,Canada,Grocery,Olive Oil Premium,Online,7,17.17,120.19,37.24,Home Office
ORD-000174,2022-11-24,South,Brazil,Grocery,Organic Coffee Beans,Retail,10,11.29,112.9,31.47,Corporate
ORD-000175,2022-10-07,South,Argentina,Grocery,Breakfast Cereal,Online,10,6.58,65.8,14.48,Consumer
ORD-000176,2022-01-25,East,Japan,Furniture,Standing Desk,Online,1,549.23,549.23,199.3,Home Office
ORD-000177,2022-12-10,North,Canada,Grocery,Olive Oil Premium,Online,13,19.53,253.89,66.06,Home Office
ORD-000178,2022-01-27,South,Brazil,Clothing,Men's Jacket,Online,3,82.44,247.32,88.39,Home Office
ORD-000179,2022-10-22,North,Canada,Electronics,Laptop Pro,Online,1,1125.6,1125.6,271.4,Home Office
ORD-000180,2022-01-06,West,UK,Electronics,Laptop Pro,Retail,5,1198.56,5992.8,1117.57,Consumer
ORD-000181,2023-04-28,North,Canada,Grocery,Organic Coffee Beans,Online,8,11.07,88.56,24.76,Home Office
ORD-000182,2022-01-01,North,Canada,Electronics,Wireless Headphones,Online,5,152.02,760.1,292.9,Home Office
ORD-000183,2022-03-03,East,Japan,Grocery,Organic Coffee Beans,Online,11,11.44,125.84,33.81,Home Office
ORD-000184,2022-03-30,East,India,Grocery,Organic Coffee Beans,Online,11,12.5,137.5,49.3,Corporate
ORD-000185,2022-03-26,North,Canada,Grocery,Organic Coffee Beans,Online,7,13.02,91.14,23.38,Home Office
ORD-000186,2022-04-10,West,France,Furniture,Bookshelf,Retail,2,128.74,257.48,79.39,Consumer
ORD-000187,2022-02-10,East,India,Furniture,Standing Desk,Online,4,467.4,1869.6,479.42,Corporate
ORD-000188,2022-02-17,East,China,Electronics,Smartphone X,Retail,6,724.47,4346.82,1174.4,Consumer
ORD-000189,2023-04-13,East,India,Furniture,Ergonomic Chair,Online,1,271.53,271.53,84.77,Home Office
ORD-000190,2022-02-25,East,China,Electronics,Smartphone X,Online,3,788.8,2366.4,496.09,Home Office
ORD-000191,2022-02-26,East,China,Grocery,Organic Coffee Beans,Online,10,11.38,113.8,34.27,Corporate
ORD-000192,2022-07-06,South,Argentina,Furniture,Bookshelf,Online,4,125.86,503.44,130.99,Consumer
ORD-000193,2022-01-08,West,Germany,Electronics,4K Monitor,Retail,4,403.44,1613.76,457.19,Corporate
ORD-000194,2022-04-09,North,Canada,Furniture,Bookshelf,Retail,6,113.94,683.64,164.08,Corporate
ORD-000195,2022-06-29,East,China,Clothing,Men's Jacket,Retail,1,82.71,82.71,32.12,Corporate
ORD-000196,2022-03-28,West,France,Furniture,Ergonomic Chair,Retail,7,225.54,1578.78,434.7,Corporate
ORD-000197,2022-11-30,West,Germany,Electronics,Wireless Headphones,Online,3,151.45,454.35,168.78,Home Office
ORD-000198,2022-05-23,West,Germany,Electronics,Laptop Pro,Online,3,1201.62,3604.86,877.9,Corporate
ORD-000199,2022-01-01,South,Argentina,Furniture,Ergonomic Chair,Retail,7,254.32,1780.24,443.51,Corporate
ORD-000200,2023-05-05,West,UK,Furniture,Ergonomic Chair,Retail,5,241.15,1205.75,350.48,Home Office
ORD-000201,2022-01-15,South,Argentina,Clothing,Women's Dress,Online,4,79.27,317.08,156.19,Home Office
ORD-000202,2023-09-27,East,Japan,Furniture,Bookshelf,Retail,1,109.99,109.99,25.61,Corporate
ORD-000203,2022-03-03,West,France,Clothing,Women's Dress,Retail,9,73.37,660.33,288.59,Corporate
ORD-000204,2022-03-12,West,Germany,Furniture,Bookshelf,Online,1,126.09,126.09,27.39,Home Office
ORD-000205,2022-10-20,South,Brazil,Electronics,Wireless Headphones,Online,2,162.41,324.82,104.2,Consumer
ORD-000206,2022-12-24,North,USA,Grocery,Breakfast Cereal,Online,12,6.32,75.84,15.17,Corporate
ORD-000207,2022-08-13,East,India,Electronics,4K Monitor,Retail,7,373.78,2616.46,618.36,Corporate
ORD-000208,2024-06-30,West,Germany,Clothing,Men's Jacket,Online,3,95.98,287.94,108.36,Corporate
ORD-000209,2022-01-10,West,Germany,Furniture,Standing Desk,Online,1,526.63,526.63,154.05,Home Office
ORD-000210,2022-01-01,North,Canada,Clothing,Women's Dress,Retail,10,74.47,744.7,276.4,Home Office
ORD-000211,2022-01-12,East,India,Electronics,Smartphone X,Online,3,879.71,2639.13,739.11,Corporate
ORD-000212,2024-01-28,South,Argentina,Clothing,Women's Dress,Retail,9,85.63,770.67,349.69,Corporate
ORD-000213,2022-02-01,South,Brazil,Grocery,Organic Coffee Beans,Online,6,12.57,75.42,25.2,Home Office
ORD-000214,2022-05-09,North,Canada,Furniture,Ergonomic Chair,Online,3,256.56,769.68,218.55,Home Office
ORD-000215,2022-07-16,West,UK,Grocery,Breakfast Cereal,Retail,19,6.44,122.36,29.7,Corporate
ORD-000216,2022-01-05,East,China,Furniture,Ergonomic Chair,Online,2,228.97,457.94,139.8,Home Office
ORD-000217,2023-09-11,East,India,Electronics,4K Monitor,Online,4,390.68,1562.72,441.78,Home Office
ORD-000218,2023-07-28,West,France,Electronics,Smartphone X,Online,2,834.91,1669.82,429.65,Home Office
ORD-000219,2022-01-22,South,Brazil,Furniture,Bookshelf,Retail,3,116.67,350.01,96.91,Corporate
ORD-000220,2022-02-26,South,Argentina,Grocery,Olive Oil Premium,Online,7,19.2,134.4,44.05,Home Office
ORD-000221,2022-03-25,East,China,Electronics,4K Monitor,Retail,9,368.87,3319.83,764.51,Home Office
ORD-000222,2022-01-21,North,Canada,Electronics,Laptop Pro,Online,2,1266.53,2533.06,579.31,Home Office
ORD-000223,2022-03-01,North,Canada,Electronics,Smartphone X,Online,4,751.52,3006.08,808.5,Corporate
ORD-000224,2022-01-22,West,France,Grocery,Breakfast Cereal,Online,7,6.0,42.0,9.3,Corporate
ORD-000225,2022-01-03,South,Argentina,Electronics,Laptop Pro,Retail,3,1309.39,3928.17,808.19,Consumer
ORD-000226,2022-01-29,South,Brazil,Furniture,Standing Desk,Retail,1,459.04,459.04,127.89,Corporate
ORD-000227,2022-01-01,North,Canada,Grocery,Olive Oil Premium,Retail,13,16.63,216.19,54.3,Corporate
ORD-000228,2022-02-26,West,France,Clothing,Women's Dress,Online,3,84.08,252.24,87.75,Consumer
ORD-000229,2022-08-13,South,Argentina,Electronics,Wireless Headphones,Retail,4,160.43,641.72,200.67,Corporate
ORD-000230,2022-06-22,West,UK,Electronics,Smartphone X,Online,4,866.37,3465.48,729.18,Consumer
ORD-000231,2022-01-01,South,Argentina,Clothing,Men's Jacket,Online,1,84.27,84.27,30.88,Home Office
ORD-000232,2022-01-11,East,China,Grocery,Breakfast Cereal,Online,5,5.82,29.1,6.27,Consumer
ORD-000233,2022-04-29,North,Canada,Grocery,Organic Coffee Beans,Retail,9,13.02,117.18,39.85,Consumer
ORD-000234,2022-02-08,North,Canada,Furniture,Bookshelf,Retail,9,129.98,1169.82,342.82,Home Office
ORD-000235,2023-02-08,East,China,Electronics,4K Monitor,Retail,1,366.21,366.21,87.14,Consumer
ORD-000236,2022-04-06,North,USA,Clothing,Men's Jacket,Online,2,89.08,178.16,82.05,Corporate
ORD-000237,2022-01-21,West,Germany,Grocery,Olive Oil Premium,Retail,18,18.17,327.06,89.92,Home Office
ORD-000238,2022-01-16,South,Brazil,Clothing,Women's Dress,Online,2,72.28,144.56,61.87,Home Office
ORD-000239,2023-01-17,South,Brazil,Furniture,Standing Desk,Online,1,530.82,530.82,159.6,Home Office
ORD-000240,2022-03-23,East,India,Grocery,Olive Oil Premium,Retail,13,17.39,226.07,68.25,Corporate
ORD-000241,2022-04-07,East,Japan,Electronics,4K Monitor,Online,4,377.77,1511.08,367.34,Consumer
ORD-000242,2022-03-24,North,Canada,Clothing,Men's Jacket,Retail,9,95.13,856.17,284.24,Consumer
ORD-000243,2022-01-12,North,Canada,Furniture,Ergonomic Chair,Retail,4,273.44,1093.76,275.74,Corporate
ORD-000244,2022-01-20,South,Brazil,Clothing,Women's Dress,Online,3,76.73,230.19,109.73,Home Office
ORD-000245,2022-04-04,North,USA,Grocery,Olive Oil Premium,Retail,11,17.74,195.14,57.94,Consumer
ORD-000246,2022-01-11,West,France,Electronics,Smartphone X,Online,5,870.49,4352.45,1176.82,Consumer
ORD-000247,2022-08-20,West,UK,Grocery,Breakfast Cereal,Retail,14,6.06,84.84,18.7,Consumer
ORD-000248,2022-01-01,North,USA,Clothing,Men's Jacket,Online,1,91.65,91.65,34.18,Consumer
ORD-000249,2024-01-12,West,UK,Furniture,Ergonomic Chair,Online,4,273.42,1093.68,273.51,Home Office
